Pet Type,Emotion,Activity1,Activity2,Activity3,Activity4,Activity5
sheep,sleepless,Provide a quiet barn, Dim lighting during the night, Comfortable resting area, Ensure security, Offer calming sounds
sheep,tired,Comfortable resting area, Soft bedding, Calm and quiet barn, Provide a cozy stall, Dim lighting during rest
sheep,surprised,Introduce new foraging opportunities, Offer novel treats, Rearrange barn layout, Provide interactive toys, Observe from distance
rabbits,happy,Play with toys, Provide a digging box, Free-roam time, Fresh vegetables, Grooming session
rabbits,sad,Gentle petting, Quiet environment, Favorite treats, Comfortable resting area, Cozy bedding
rabbits,fearful,Gradual exposure to new environments, Provide hiding spots, Gentle reassurance, Calm environment, Quiet playtime
rabbits,anxious,Establish a routine, Provide a secure enclosure, Gentle handling, Offer a variety of toys, Calming background sounds
rabbits,disgusted,Clean and maintain living space, Fresh hay and water, Grooming session, Comfortable resting area, Treats
rabbits,hateful,Respect personal space, Provide hiding spots, Calm environment, Gentle interaction, Offer favorite treats
rabbits,traumatized,Gentle and patient interaction, Create a secure environment, Calm and soothing activities, Slow introduction to new things, Comfortable resting area
rabbits,sleepless,Establish a bedtime routine, Provide a quiet sleeping area, Comfortable bedding, Low lighting in the evening, Gentle play before bedtime
rabbits,tired,Comfortable resting area, Soft blankets and cushions, Calm and quiet environment, Provide a cozy bed, Dim lighting during rest
rabbits,surprised,Introduce new toys, Create an enriching environment, Gentle and unexpected interactions, Variety in daily routine, Interactive play
mice,happy,Exploring time, Provide a variety of toys, Climbing structures, Fresh water source, Social interaction
mice,sad,Comfortable nesting area, Quiet environment, Gentle handling, Provide fresh bedding, Treat time
mice,fearful,Gradual exposure to new surroundings, Provide secure enclosure, Calm interactions, Quiet feeding time, Gentle handling
mice,anxious,Establish a feeding routine, Provide a hiding spot, Gentle interactions, Offer a variety of toys, Calming background sounds
mice,disgusted,Clean and maintain the habitat, Fresh water and feed, Grooming session, Comfortable resting area, Treats
mice,hateful,Respect personal space, Gentle handling, Provide hiding spots, Create a calm environment, Offer favorite treats
mice,traumatized,Gradual reintroduction to handling, Create a secure habitat environment, Monitor overall health, Gentle interactions, Comfortable nesting area
mice,sleepless,Provide a quiet habitat, Dim lighting during the night, Comfortable nesting area, Ensure security, Offer calming sounds
mice,tired,Comfortable nesting area, Soft bedding, Calm and quiet habitat, Provide a cozy area, Dim lighting during rest
mice,surprised,Introduce new toys, Offer novel treats, Rearrange habitat layout, Provide interactive toys, Observe from a distance
sugar glider,happy,Provide a spacious habitat, Offer a variety of toys, Climbing structures, Fresh fruit treats, Social interaction
sugar glider,sad,Comfortable sleeping area, Quiet environment, Gentle handling, Provide fresh bedding, Treat time
sugar glider,fearful,Gradual exposure to new environments, Provide secure enclosure, Calm interactions, Quiet feeding time, Gentle handling
sugar glider,anxious,Establish a feeding routine, Provide a hiding spot, Gentle interactions, Offer a variety of toys, Calming background sounds
sugar glider,disgusted,Clean and maintain the habitat, Fresh water and feed, Grooming session, Comfortable sleeping area, Treats
sugar glider,hateful,Respect personal space, Gentle handling, Provide hiding spots, Create a calm environment, Offer favorite treats
sugar glider,traumatized,Gradual reintroduction to handling, Create a secure habitat environment, Monitor overall health, Gentle interactions, Comfortable sleeping area
sugar glider,sleepless,Provide a quiet habitat, Dim lighting during the night, Comfortable sleeping area, Ensure security, Offer calming sounds
sugar glider,tired,Comfortable sleeping area, Soft bedding, Calm and quiet habitat, Provide a cozy area, Dim lighting during rest
sugar glider,surprised,Introduce new toys, Offer novel treats, Rearrange habitat layout, Provide interactive toys, Observe from a distance
fennec fox,happy,Exploring time, Provide a variety of toys, Climbing structures, Fresh water source, Social interaction
fennec fox,sad,Comfortable resting area, Quiet environment, Gentle handling, Provide fresh bedding, Treat time
fennec fox,fearful,Gradual exposure to new surroundings, Provide secure enclosure, Calm interactions, Quiet feeding time, Gentle handling
fennec fox,anxious,Establish a feeding routine, Provide a hiding spot, Gentle interactions, Offer a variety of toys, Calming background sounds
fennec fox,disgusted,Clean and maintain the habitat, Fresh water and feed, Grooming session, Comfortable resting area, Treats
fennec fox,hateful,Respect personal space, Gentle handling, Provide hiding spots, Create a calm environment, Offer favorite treats
fennec fox,traumatized,Gradual reintroduction to handling, Create a secure habitat environment, Monitor overall health, Gentle interactions, Comfortable resting area
fennec fox,sleepless,Provide a quiet habitat, Dim lighting during the night, Comfortable resting area, Ensure security, Offer calming sounds
fennec fox,tired,Comfortable resting area, Soft bedding, Calm and quiet habitat, Provide a cozy area, Dim lighting during rest
fennec fox,surprised,play outdoor games,Gentle interactions,Offer favorite treats,,
monkeys,happy,Provide a spacious and enriched enclosure, Offer a variety of toys, Fresh fruits and vegetables, Social interaction, Climbing structures
monkeys,sad,Comfortable resting area, Quiet environment, Gentle handling, Provide fresh water, Treat time
monkeys,fearful,Gradual exposure to new surroundings, Provide secure enclosure, Calm interactions, Quiet feeding time, Gentle handling
monkeys,anxious,Establish a feeding routine, Provide a hiding spot, Gentle interactions, Offer a variety of toys, Calming background sounds
monkeys,disgusted,Clean and maintain the enclosure, Fresh water and feed, Grooming session, Comfortable resting area, Treats
monkeys,hateful,Respect personal space, Gentle handling, Provide climbing structures, Create a calm environment, Offer favorite fruits
monkeys,traumatized,Gradual reintroduction to handling, Create a secure enclosure environment, Monitor overall health, Gentle interactions, Comfortable resting area
monkeys,sleepless,Provide a quiet enclosure, Dim lighting during the night, Comfortable resting area, Ensure security, Offer calming sounds
monkeys,tired,Comfortable resting area, Soft bedding, Calm and quiet enclosure, Provide a cozy spot, Dim lighting during rest
monkeys,surprised,Introduce new toys, Offer novel treats, Rearrange enclosure layout, Provide interactive toys, Observe from a distance
frogs,happy,Provide a comfortable aquatic habitat, Offer a variety of insects, Sunbathing, Fresh water source, Social interaction
frogs,sad,Comfortable resting area, Quiet environment, Gentle handling, Provide fresh water, Treat time
frogs,fearful,Gradual exposure to new surroundings, Provide secure habitat, Calm interactions, Quiet feeding time, Gentle handling
frogs,anxious,Establish a feeding routine, Provide a hiding spot, Gentle interactions, Offer a variety of insects, Calming background sounds
frogs,disgusted,Clean and maintain the habitat, Fresh water and feed, Grooming session, Comfortable resting area, Treats
frogs,hateful,Respect personal space, Gentle handling, Provide hiding spots, Create a calm environment, Offer favorite insects
frogs,traumatized,Gradual reintroduction to handling, Create a secure habitat environment, Monitor overall health, Gentle interactions, Comfortable resting area
frogs,sleepless,Provide a quiet habitat, Dim lighting during the night, Comfortable resting area, Ensure security, Offer calming sounds
frogs,tired,Comfortable resting area, Soft substrate, Calm and quiet habitat, Provide a cozy spot, Dim lighting during rest
frogs,surprised,Introduce new aquatic features, Offer novel insects, Rearrange habitat layout, Provide interactive toys, Observe from a distance
butterflies,happy,Provide a spacious and sunny environment, Offer a variety of nectar sources, Fresh fruits, Sunbathing, Social interaction
butterflies,sad,Comfortable resting area, Quiet environment, Gentle handling, Provide fresh nectar, Treat time
butterflies,fearful,Gradual exposure to new surroundings, Provide secure habitat, Calm interactions, Quiet feeding time, Gentle handling
butterflies,anxious,Establish a feeding routine, Provide a hiding spot, Gentle interactions, Offer a variety of nectar, Calming background sounds
butterflies,disgusted,Clean and maintain the habitat, Fresh water and fruits, Grooming session, Comfortable resting area, Treats
butterflies,hateful,Respect personal space, Gentle handling, Provide resting spots, Create a calm environment, Offer favorite nectar
butterflies,traumatized,Gradual reintroduction to handling, Create a secure habitat environment, Monitor overall health, Gentle interactions, Comfortable resting area
butterflies,sleepless,Provide a quiet habitat, Dim lighting during the night, Comfortable resting area, Ensure security, Offer calming sounds
butterflies,tired,Comfortable resting area, Soft substrate, Calm and quiet habitat, Provide a cozy spot, Dim lighting during rest
butterflies,surprised,Introduce new nectar sources, Offer novel fruits, Rearrange habitat layout, Provide interactive toys, Observe from a distance
parrots,happy,Provide a spacious cage, Offer a variety of toys, Fresh fruits and vegetables, Social interaction, Mimicry play
parrots,sad,Comfortable perching area, Quiet environment, Gentle handling, Provide fresh water, Treat time
parrots,fearful,Gradual exposure to new surroundings, Provide secure cage, Calm interactions, Quiet feeding time, Gentle handling
parrots,anxious,Establish a feeding routine, Provide a hiding spot, Gentle interactions, Offer a variety of toys, Calming background sounds
parrots,disgusted,Clean and maintain the cage, Fresh water and feed, Grooming session, Comfortable perching area, Treats
parrots,hateful,Respect personal space, Gentle handling, Provide perching spots, Create a calm environment, Offer favorite treats
parrots,traumatized,Gradual reintroduction to handling, Create a secure cage environment, Monitor overall health, Gentle interactions, Comfortable perching area
parrots,sleepless,Provide a quiet cage, Dim lighting during the night, Comfortable perching area, Ensure security, Offer calming sounds
parrots,tired,Comfortable perching area, Soft bedding, Calm and quiet cage, Provide a cozy spot, Dim lighting during rest
parrots,surprised,Introduce new toys, Offer novel treats, Rearrange cage layout, Provide interactive toys, Observe from a distance
pigs,happy,Provide a spacious and enriched pen, Mud bath, Fresh vegetables and fruits, Social interaction, Rooting play
pigs,sad,Comfortable resting area, Quiet environment, Gentle handling, Provide fresh water, Treat time
pigs,fearful,Gradual exposure to new surroundings, Provide secure pen, Calm interactions, Quiet feeding time, Gentle handling
pigs,anxious,Establish a feeding routine, Provide a hiding spot, Gentle interactions, Offer a variety of vegetables, Calming background sounds
pigs,disgusted,Clean and maintain the pen, Fresh water and feed, Grooming session, Comfortable resting area, Treats
pigs,hateful,Respect personal space, Gentle handling, Provide rooting spots, Create a calm environment, Offer favorite treats
pigs,traumatized,Gradual reintroduction to handling, Create a secure pen environment, Monitor overall health, Gentle interactions, Comfortable resting area
pigs,sleepless,Provide a quiet pen, Dim lighting during the night, Comfortable resting area, Ensure security, Offer calming sounds
pigs,tired,Comfortable resting area, Soft bedding, Calm and quiet pen, Provide a cozy spot, Dim lighting during rest
pigs,surprised,Introduce new rooting opportunities, Offer novel vegetables, Rearrange pen layout, Provide interactive toys, Observe from a distance
owls,sad,Comfortable roosting area, Quiet environment, Gentle handling, Provide fresh water, Treat time
owls,fearful,Gradual exposure to new surroundings, Provide secure roosting area, Calm interactions, Quiet feeding time, Gentle handling
owls,anxious,Establish a feeding routine, Provide a hiding spot, Gentle interactions, Offer a variety of prey, Calming background sounds
owls,disgusted,Clean and maintain the roosting area, Fresh water and feed, Grooming session, Comfortable roosting area, Treats
owls,hateful,Respect personal space, Gentle handling, Provide roosting spots, Create a calm environment, Offer favorite prey
owls,traumatized,Gradual reintroduction to handling, Create a secure roosting area environment, Monitor overall health, Gentle interactions, Comfortable roosting area
owls,sleepless,Provide a quiet roosting area, Dim lighting during the night, Comfortable roosting area, Ensure security, Offer calming sounds
owls,tired,Comfortable roosting area, Soft bedding, Calm and quiet roosting area, Provide a cozy spot, Dim lighting during rest
owls,surprised,Introduce new prey options, Offer novel treats, Rearrange roosting area layout, Provide interactive toys, Observe from a distance
hamsters,happy,Provide a cozy and enriched cage, Exercise wheel, Fresh fruits and vegetables, Social interaction, Tunnels and hiding spots
hamsters,sad,Comfortable bedding, Quiet environment, Gentle handling, Provide fresh water, Treat time
hamsters,fearful,Gradual exposure to new surroundings, Provide secure cage, Calm interactions, Quiet feeding time, Gentle handling
hamsters,anxious,Establish a feeding routine, Provide a hiding spot, Gentle interactions, Offer a variety of treats, Calming background sounds
hamsters,disgusted,Clean and maintain the cage, Fresh water and feed, Grooming session, Comfortable bedding, Treats
hamsters,hateful,Respect personal space, Gentle handling, Provide climbing structures, Create a calm environment, Offer favorite treats
hamsters,traumatized,Gradual reintroduction to handling, Create a secure cage environment, Monitor overall health, Gentle interactions, Comfortable bedding
hamsters,sleepless,Provide a quiet cage, Dim lighting during the night, Comfortable bedding, Ensure security, Offer calming sounds
hamsters,tired,Comfortable bedding, Soft substrate, Calm and quiet cage, Provide a cozy spot, Dim lighting during rest
hamsters,surprised,Introduce new toys, Offer novel treats, Rearrange cage layout, Provide interactive toys, Observe from a distance
rabbits,happy,Spacious and enriched enclosure, Hay and fresh vegetables, Social interaction, Provide tunnels for play, Grooming time
rabbits,sad,Comfortable resting area, Quiet environment, Gentle handling, Provide fresh water, Treat time
rabbits,fearful,Gradual exposure to new surroundings, Provide secure enclosure, Calm interactions, Quiet feeding time, Gentle handling
rabbits,anxious,Establish a feeding routine, Provide a hiding spot, Gentle interactions, Offer a variety of vegetables, Calming background sounds
rabbits,disgusted,Clean and maintain the enclosure, Fresh water and feed, Grooming session, Comfortable resting area, Treats
rabbits,hateful,Respect personal space, Gentle handling, Provide hopping spaces, Create a calm environment, Offer favorite vegetables
rabbits,traumatized,Gradual reintroduction to handling, Create a secure enclosure environment, Monitor overall health, Gentle interactions, Comfortable resting area
rabbits,sleepless,Provide a quiet enclosure, Dim lighting during the night, Comfortable resting area, Ensure security, Offer calming sounds
rabbits,tired,Comfortable resting area, Soft bedding, Calm and quiet enclosure, Provide a cozy spot, Dim lighting during rest
rabbits,surprised,Introduce new toys, Offer novel treats, Rearrange enclosure layout, Provide interactive toys, Observe from a distance
turtles,happy,Spacious and aquatic habitat, Basking area, Fresh and varied diet, Social interaction, Provide hiding spots
turtles,sad,Comfortable basking area, Quiet environment, Gentle handling, Provide fresh water, Treat time
turtles,fearful,Gradual exposure to new surroundings, Provide secure habitat, Calm interactions, Quiet feeding time, Gentle handling
turtles,anxious,Establish a feeding routine, Provide a hiding spot, Gentle interactions, Offer a variety of food, Calming background sounds
turtles,disgusted,Clean and maintain the habitat, Fresh water and feed, Grooming session, Comfortable basking area, Treats
turtles,hateful,Respect personal space, Gentle handling, Provide swimming spaces, Create a calm environment, Offer favorite food
turtles,traumatized,Gradual reintroduction to handling, Create a secure habitat environment, Monitor overall health, Gentle interactions, Comfortable basking area
turtles,sleepless,Provide a quiet habitat, Dim lighting during the night, Comfortable basking area, Ensure security, Offer calming sounds
turtles,tired,Comfortable basking area, Soft substrate, Calm and quiet habitat, Provide a cozy spot, Dim lighting during rest
turtles,surprised,Introduce new aquatic features, Offer novel food items, Rearrange habitat layout, Provide interactive toys, Observe from a distance
